Item;Volume;Bags;n per bag;Total;filter_name
Eppendorf tubes;2 mL;13;1000;13000;plastic_tubes
Eppendorf tubes;1.5 mL;1;500;500;plastic_tubes
Eppendorf tubes;1.5 mL;4;1000;4000;plastic_tubes
Eppendorf tubes;5 mL;8;250;725;plastic_tubes
tips;10 uL;4;1000;4000;plastic_tips
tips + filter + box;10 uL;40;96;3840;plastic_tips
tips;20 uL;6;1000;6000;plastic_tips
tips + filter + box;20 uL;90;96;8640;plastic_tips
tips;200 uL;4;1000;4000;plastic_tips
tips + filter + box;200 uL;30;96;2880;plastic_tips
tips;1000 uL;32;250;8000;plastic_tips
tips;1000 uL;6;500;3000;plastic_tips
tips;1000 uL;9;1000;9000;plastic_tips
tips;5000 uL;7;334;2338;plastic_tips
tips;5000 uL;11;100;1100;plastic_tips
syringes;5 mL;9;100;930;syringes
syringes;10 mL;5;100;560;syringes
syringes;50 mL;4;50;215;syringes
filters for syringes;0.45 um;3;500;1450;syringes
filters for syringes (mini);0.45 um;5;50;250;syringes
glass tubes;-;46;250;11320;glass_tubes
petri with divider;10 cm;24;20;480;petri
petri;10 cm;111;10;1110;petri
petri squared;12 cm;54;10;540;petri
petri;12 cm;44;10;440;petri
falcon;15 mL;3;50;150;falcon
falcon;15 mL;20;150;3000;falcon
falcon;15 mL;3;40;136;falcon
falcon sterile;50 mL;6;100;600;falcon
falcon;50 mL;16;25;400;falcon
falcon;50 mL;11;100;1150;falcon
falcon with stand;50 mL;2;50;100;falcon
falcon + filter;50 mL;5.5;24;132;falcon
filter paper Whatman;-;6;100;600;paper_filters
filter paper foldable;-;15;100;1500;paper_filters
pasteur;1 mL;2;400;800;pasteur
pasteur;3 mL;5;500;2500;pasteur
cuvettes;1.5 mL;20;100;2000;cuvettes
cuvettes;-;3;100;300;cuvettes
cuvettes;-;6;100;560;cuvettes
cuvettes;-;2;100;200;cuvettes
cuvettes;-;2;100;200;cuvettes
mini plastic pots (yellow lid);70 mL;2;250;500;plastic_pots
tecan plates;-;4;40;160;tecan
parafilm;-;-;-;4;parafilm
